SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,KEYWORD_POSITIVE,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P07,S01,11147510381,0,P,커버력,비비,만족,좋습니다,저렴하게,6.37,5.72,5.5,5.1,4.32
N,P07,S01,11147510381,1,P,두번째 구매입니다,저렴하게 구매햇습니다,저렴하게 잘샀아요,항상 재구매합니다,항상 이것만 써요,,,,,
N,P07,S01,11147510381,0,N,커버,생각보다,아쉬워요,발림성,비비,2.45,1.85,1.78,1.57,1.44
N,P07,S01,11147510381,1,N,이만한 비비가 없는거같아요,기대합니다,제품이 촉촉해서 다크닝도 빨리오고 유지력도 약해요기존에 있던 파데랑 섞어쓰면 괜찮습니다단독 사용은 무리네요,다른비비는 써볼염두도못내겠어요,좋다는 후기를 보고 구매했는데 생각보다 별로네요,,,,,
N,P07,S01,21558501685,0,P,셀퓨전씨,좋습니다,감사합니다,만족,커버,1.6,1.4,1.39,1.26,0.88
N,P07,S01,21558501685,1,P,잘받았습니다,좋아요,이 제품은 블레미쉬보다 자연스러운 색상에 더 부드러운 질감이지만 밀착력이 안 좋아요,셀퓨전씨 썬크림 사용하고 있는데좋은기회에 체험팩으로 구매했어요배송도 빠르고 좋아요,썼을 때랑 동일하다는 점이구 너무 만족하면서 사용중입니다,,,,,
N,P07,S01,21558501685,0,N,아쉽네요,뜨는,트러블,괜찮아요,커버력,1.72,1.36,1.27,1.01,0.7
N,P07,S01,21558501685,1,N,성분좋고 피부가 편안해해요,써본 비비 중에서 국내 제품중에서 거의 슈리멕과 유사한 색   제 느낌으론    근데 좀 뻑뻑해요,조금 써보다가 후기써요 엄청 민감성에 수부지 피뷰인데 생각 보다는 살짝 뜨는 감이 있어요,해외 백화점 브랜드 파데보다 더 커버력 좋고 가벼워요,커버력은 없어요,,,,,
N,P05,S07,23075090491,0,P,색상,발색,들어요,색이,예뻐요,9.5,6.4,5.83,5.7,5.41
N,P05,S07,23075090491,1,P,쿨톤에는 좀 안붙는 감이 있는데 너무 고급스럽고 차분한 누드톤이라 입술라인 정리후 안쪽으로만 터치해서 바르고 있어요,재구매각,컬러도 좋아요,저렴하게 구매할수있도록 해주셔 감사합니다선물 잘 할게요,샘플로 주신 향수 케이스 종이에 얼룩이 많아 상큼하지 않네요,,,,,
N,P05,S07,23075090491,0,N,예뻐요,생각보다,색이,주문했는데,데일리,2.97,2.63,1.78,1.62,1.61
N,P05,S07,23075090491,1,N,입생 제품 믿고 쓰는 편인데 이제품은 추천하고 싶지 않네요,받는사람 맘에 들면 그만이지만 늦어서 조금 아쉽네요,제품좋아요,구매한지는 꽤 됐는데 이제야 리뷰쓰네요발색력 넘나좋고 웜톤 쿨톤 모두에게 찰떡인거 같아요추천합니다,역시 명성대로  근데 롯데온쇼핑 개선해야될게있네요,,,,,
N,P07,S42,23057725490,0,P,커버,아이오페,만족,저렴,있어요,2.18,1.92,1.81,1.4,1.12
N,P07,S42,23057725490,1,P,항상  여름만  되면  사용하던  제품이라  저렴한가격에  구입했어요,늘 사용하던 제품을 저렴하게 구입했습니다,마몽드 파우더 팩트 쓰다가 라네즈 트윈팩트 로 바꿔서 사용하다가  아이오페로 다시  바꿔보았는데요,항상쓰는겅니요,밀착이 잘 되고 좋아요,,,,,
N,P07,S42,23057725490,0,N,21호,커버,,,,1.4,0.73,,,
N,P07,S42,23057725490,1,N,안좋아요,오랫동안 써온 제품이 있는데 정말 정말 오랫동안  너무 오래 는지 제품이 없어서 새로운 제품에 도전해봤어요,둘다 건성인데 커버하고 난 뒤에 크게 화장이 무너지지도 않고 예쁘게 광이 보존되서 계속 손이가요,본품  리필 하나 쟁겨두려고 샀어요,퍼펙트 스킨 찾는데 커버만 잔뜩 나오더니결국 실수로 시켰어요,,,,,
N,P10,S31,24462314522,0,P,효과,목주름,모르겠지만,주름,촉촉,10.52,4.98,4.7,4.15,3.72
